municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-09 23:00:00.0;0,20;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-09 23:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-01 00:10:00.0;0,20;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-01 01:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-01 02:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-01 03:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-01 04:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-01 05:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-01 06:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-01 07:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-01 08:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-01 09:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-01 10:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-01 11:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-01 12:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-01 13:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-01 14:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-01 15:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-01 16:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-01 17:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-01 18:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-01 19:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-01 20:10:00.0;0,00;
